PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
STONE SMARTT,TE,365.9,2.1,0.0,0.0,1.8,0.0,23.1,0.0,0.0,0.0,338.0,18.8,0.0,0.0,369.5,3.9,340.0,34.8,440.0,16.1,15.0,391.0,16.0,0.0,208.0,426.0,0.0,0.0,0.0,14.8,NYJ,15.0,389.0,18,28,7,3,500.0,500
TAHJ BROOKS,RB,253.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,267.6,0.0,156.0,0.0,267.0,46.9,12.0,369.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,48.0,CIN,12.0,342.0,26,27,22,2,500.0,500
TAI FELTON,WR,306.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,305.0,0.0,261.0,0.0,335.0,22.4,14.0,378.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,22.3,MIN,14.0,378.0,26,28,24,3,500.0,500
TAMPA BAY BUCCANEERS,DEF,253.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,104.0,0.0,0.0,254.2,6.1,166.0,104.0,257.0,32.0,12.0,355.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,29.3,TB,12.0,354.0,29,28,24,0,500.0,191
TANNER HUDSON,TE,367.6,1.8,0.0,0.0,1.7,0.1,14.0,0.1,0.0,0.1,336.0,19.5,0.0,0.0,376.4,3.5,351.0,38.5,481.0,14.4,16.0,391.0,19.0,1.0,154.0,470.0,1.0,0.0,1.0,20.7,CIN,16.0,391.0,13,13,15,4,500.0,500
TAYLOR HEINICKE,QB,371.5,0.8,0.0,7.0,0.0,0.0,0.0,0.5,0.0,5.0,358.0,3.1,0.0,28.0,367.7,0.8,347.0,3.1,486.0,17.1,16.0,389.0,0.0,0.0,0.0,496.0,2.0,0.0,20.0,13.5,LAC,16.0,385.0,8,6,14,2,500.0,500
TAYSOM HILL,TE,263.3,10.0,0.0,0.0,2.9,0.0,23.4,4.9,0.8,34.8,123.0,80.3,0.0,0.0,288.7,12.9,208.0,103.3,289.0,32.3,13.0,354.0,23.0,0.0,187.0,273.0,39.0,6.0,278.0,48.7,NO,12.0,371.0,5,7,4,2,500.0,500
TEE HIGGINS,WR,28.0,12.4,0.0,0.0,6.1,0.8,75.9,0.0,0.0,0.0,18.0,149.1,0.0,0.0,25.6,18.5,13.0,222.1,25.0,7.0,4.0,48.0,73.0,10.0,911.0,27.0,0.0,0.0,0.0,7.4,CIN,4.0,50.0,17,9,26,2,34.5,27
TERRANCE FERGUSON,TE,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,278.6,0.0,225.0,0.0,305.0,29.9,13.0,351.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,34.6,LAR,13.0,389.0,32,31,31,2,500.0,500
TERRY MCLAURIN,WR,38.4,10.9,0.0,0.0,4.8,0.8,64.5,0.1,0.0,0.1,21.0,185.8,0.0,0.0,36.9,15.8,18.0,267.8,35.0,9.7,5.0,93.0,82.0,13.0,1096.0,38.0,2.0,0.0,2.0,7.9,WAS,5.0,70.0,11,21,5,1,39.0,40
TETAIROA MCMILLAN,WR,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,57.2,0.0,25.0,0.0,54.0,20.7,6.0,141.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,17.4,CAR,6.0,122.0,6,15,2,1,57.5,75
